Year;Lan;Dis;Cat;CatEst;Tsb;Ssb;SsbCv;Recr;RecrCv;Fbar;FbarCv
1986;1124;284;1408;1444.246753;4979.454496;2883.637303;0.060453714;69390.48514;0.121345347;0.5866754;0.128687972
1987;1688;333;2021;1990.889381;6807.32048;3659.684326;0.056441256;48724.3254;0.11710407;0.604629;0.087880903
1988;2223;363;2586;2345.700831;7134.282064;4358.068037;0.055473638;60854.02699;0.110022969;0.6457254;0.077125679
1989;2629;408;3037;2568.690939;7278.338597;4522.522574;0.057360757;59136.13408;0.107349078;0.7001438;0.068537343
1990;1945;409;2354;2483.879087;6544.837004;4260.935021;0.058485661;33819.63944;0.104358129;0.7208996;0.073202438
1991;1682;447;2129;2232.517341;6337.941788;3993.621964;0.060470122;78798.38226;0.103769432;0.6857266;0.070769456
1992;1916;437;2353;2012.904487;6257.883129;3806.586291;0.065892929;66335.54721;0.103686401;0.6409686;0.074656437
1993;1384;438;1822;2121.180232;6280.458004;3814.72335;0.063255327;20058.97196;0.105428203;0.6375848;0.072232816
1994;1403;517;1920;2146.10239;6213.447454;3879.457335;0.063092846;49418.70046;0.100553069;0.663169;0.073914954
1995;1652;406;2058;1800.774784;5455.076238;3450.213895;0.066932367;58181.41175;0.095790193;0.645287;0.074430157
1996;1098;368;1466;1393.981925;4753.371903;2734.764751;0.071693466;44191.19449;0.094541534;0.5550722;0.080432309
1997;896;308;1204;1087.726357;4079.412633;2572.02461;0.074267174;30650.88091;0.098684876;0.4700808;0.081340317
1998;1123;378;1501;1373.812232;4978.029644;3493.518743;0.071858396;19062.00068;0.099299704;0.4638198;0.082323298
1999;1125;317;1442;1506.61023;4682.579445;3481.087847;0.072845718;30604.03402;0.147189759;0.5380406;0.079395128
2000;1041;373;1414;1357.378134;4045.411696;2761.419712;0.078887534;34347.96829;0.122038469;0.6027808;0.083265182
2001;931;290;1221;1075.145717;3710.687741;2311.464187;0.099907819;31850.59514;0.096334342;0.5472724;0.09338947
2002;720;308;1028;991.9121092;4277.331663;2565.461954;0.132698759;38514.21862;0.093463137;0.4344004;0.102566256
2003;876;191;1067;1026.251115;5003.917575;2886.615963;0.133980655;42564.1325;0.096959502;0.3853974;0.10013405
2004;1006;348;1354;1161.270405;5079.68135;2948.126873;0.117068045;37069.33899;0.096105829;0.4245092;0.096262561
2005;983;375;1358;1366.61276;5149.201475;3098.165578;0.093564918;60364.04319;0.093606632;0.4899698;0.096885614
2006;1092;335;1427;1535.623842;6055.348083;3528.240092;0.086804635;51465.3024;0.092346415;0.4761998;0.103980305
2007;1104;292;1396;1282.735026;5731.972076;3382.078403;0.084467538;37824.87527;0.092521718;0.39416;0.111189728
2008;980;202;1182;1371.89432;6445.317608;4370.814174;0.086987725;27788.44901;0.092584185;0.3383892;0.112089355
2009;1134;279;1413;1362.584128;6403.31752;4649.157616;0.095375813;59831.55017;0.090323812;0.3330748;0.111189024
2010;1297;265;1562;1488.920139;6662.902391;5049.263032;0.0982884;40904.79821;0.088894389;0.3392884;0.112283241
2011;1128;269;1397;1312.241536;6415.587598;4518.701374;0.104804197;42465.32026;0.091831029;0.323178;0.114489385
2012;952;369;1321;1367.108057;7746.137896;4957.740601;0.097126938;53487.35309;0.094898761;0.3110422;0.111639577
2013;931;496;1427;1424.397569;6829.776662;4943.234371;0.102676003;40447.34698;0.100448035;0.3427954;0.109361776
2014;1154;788;1942;1760.225009;7372.533822;5257.068651;0.104517873;67373.89991;0.102343039;0.4053062;0.108852591
2015;1148;597;1745;1718.234648;7787.00042;5091.650654;0.113708047;48791.73287;0.106542974;0.4113828;0.11593775
2016;1087;332;1419;1474.419289;8091.216993;5375.122781;0.11453635;62077.33816;0.109474874;0.3224498;0.123407095
2017;927;246;1173;1079.251971;8257.989919;5532.350392;0.119241496;43160.04233;0.113665501;0.2238183;0.134257557
2018;814;92;906;943.8514758;8292.847321;6376.693928;0.120401524;52545.90406;0.115920862;0.16692108;0.137852497
2019;742;201;943;937.9004601;9747.293675;7849.351916;0.125052085;48719.03344;0.116901276;0.13860728;0.140757551
2020;711;81;792;904.2573344;10939.94429;8798.675343;0.122809047;59094.49239;0.127146598;0.11804846;0.137572148
2021;722;109;831;817.8425246;12770.39801;10413.96093;0.1250655;50678.88187;0.150690483;0.10010602;0.135511739
2022;644;119;763;795.5828328;14716.31972;11883.46127;0.120439872;69081.2089;0.193320723;0.08814414;0.128460447
2023;707;79;786;764.9804261;16390.89079;13690.22317;0.117801873;36803.69976;0.260872561;0.08015446;0.129401662
2024;685;51;736;759.6316569;18379.36198;16175.03021;0.116596554;28247.98233;0.360681232;0.07001562;0.128661391
2025;689;36;725;662.6473924;19570.42801;17816.85275;0.115451649;9221.116819;0.594060768;0.05733318;0.155094348
2026*;NA;NA;NA;NA;NA;NA;NA;21243.24275;NA;0.069167753;NA
